biotype_match,exon_match,domain_match,consequence_match,AA_match,disease_match,total_score
True,True,True,True,True,True,100.0
True,False,True,True,True,True,83.33333333333334
True,False,True,True,True,True,83.33333333333334
True,False,True,True,True,True,83.33333333333334
True,False,True,False,False,True,50.0
True,True,True,True,True,True,100.0
True,False,True,True,True,True,83.33333333333334
True,False,True,True,True,True,83.33333333333334
True,False,True,True,True,True,83.33333333333334
True,False,True,False,False,True,50.0
True,True,True,True,True,True,100.0
True,False,True,True,True,True,83.33333333333334
True,False,True,True,True,True,83.33333333333334
True,False,True,True,True,True,83.33333333333334
True,False,True,False,False,True,50.0
True,False,False,True,False,True,50.0
True,False,False,True,False,True,50.0
True,False,False,True,False,True,50.0
True,False,False,True,False,True,50.0
True,False,False,True,False,True,50.0
True,False,False,True,False,True,50.0
True,False,False,True,False,True,50.0
True,False,False,True,False,True,50.0
